"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","url","categoryName"
"Cơm Nam Hằng",,,"564 QL21","Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Quán ăn nhỏ",,,,"https://www.google.com/maps/search/?api=1&query=C%C6%A1m%20Nam%20H%E1%BA%B1ng&query_place_id=ChIJxRxYMABbNDERCTsvuozKfk8","Quán ăn nhỏ"
"Vịt Quay Lê Hương",,,"2G2C+V9H","Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Quán ăn nhỏ",,,,"https://www.google.com/maps/search/?api=1&query=V%E1%BB%8Bt%20Quay%20L%C3%AA%20H%C6%B0%C6%A1ng&query_place_id=ChIJJft1fABbNDERBnkL1Q68Sts","Quán ăn nhỏ"
"Finger Food",,,"Điểm xe bus thứ 2 từ đại học FPT - Thôn 3 xã Thạch Hòa, QL21","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 338 393 656","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=Finger%20Food&query_place_id=ChIJRTQ4cIdbNDERva6MFUBilaI","Nhà hàng"
"Bún cá cay Hồng Sáu",,,"2G7C+M29, QL21A","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 972 232 363","Nhà hàng chuyên phục vụ bữa nửa buổi",,,,"https://www.google.com/maps/search/?api=1&query=B%C3%BAn%20c%C3%A1%20cay%20H%E1%BB%93ng%20S%C3%A1u&query_place_id=ChIJf3VfmDxbNDERzTXa8C33Uk4","Nhà hàng chuyên phục vụ bữa nửa buổi"
"Bánh Mì Kebab 3T",,,"542 QL21","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 968 223 713","Nhà hàng món bánh mì Thổ Nhĩ Kỳ","Quầy bánh mì kẹp xúc xích","Quầy giải khát",,"https://www.google.com/maps/search/?api=1&query=B%C3%A1nh%20M%C3%AC%20Kebab%203T&query_place_id=ChIJD5IMIrNbNDERjEn-PWMJ6f8","Nhà hàng món bánh mì Thổ Nhĩ Kỳ"
"Bún riêu cua bắp bò Thu Phương","3.4","5","2G79+MH4","Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Quán mì",,,,"https://www.google.com/maps/search/?api=1&query=B%C3%BAn%20ri%C3%AAu%20cua%20b%E1%BA%AFp%20b%C3%B2%20Thu%20Ph%C6%B0%C6%A1ng&query_place_id=ChIJe9xGTxlbNDERL9ysW8HaURE","Quán mì"
"Bún Đậu Cô Tuyết",,,"Số 33 Thôn 3","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 962 620 393","Quán ăn nhỏ",,,,"https://www.google.com/maps/search/?api=1&query=B%C3%BAn%20%C4%90%E1%BA%ADu%20C%C3%B4%20Tuy%E1%BA%BFt&query_place_id=ChIJpUHC869bNDER79W1kLBluI4","Quán ăn nhỏ"
"Ahiii Chicken",,,"Số 82 Thôn 3","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 962 812 212","Nhà hàng ăn nhanh",,,,"https://www.google.com/maps/search/?api=1&query=Ahiii%20Chicken&query_place_id=ChIJVdi8RQBbNDERodP5wk0_JSo","Nhà hàng ăn nhanh"
"Cơm Tấm Bếp Mẹ Kem",,,"2G49+P66, QL21","Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Quán ăn nhỏ",,,,"https://www.google.com/maps/search/?api=1&query=C%C6%A1m%20T%E1%BA%A5m%20B%E1%BA%BFp%20M%E1%BA%B9%20Kem&query_place_id=ChIJNxdUZwBbNDERrWkvgf7rlnQ","Quán ăn nhỏ"
"Bún đậu Đồng Mô 2","2.9","10","2G69+GGV, 130","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 829 170 333","Nhà hàng gia đình",,,,"https://www.google.com/maps/search/?api=1&query=B%C3%BAn%20%C4%91%E1%BA%ADu%20%C4%90%E1%BB%93ng%20M%C3%B4%202&query_place_id=ChIJNTnWKgBbNDER_rky0_aB5So","Nhà hàng gia đình"
"Linh Anh Quán","1","1",,"Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=Linh%20Anh%20Qu%C3%A1n&query_place_id=ChIJN_PMlZRbNDERIMCHIECPt2E","Nhà hàng"
"Phở Cồ An 2",,,"2G49+J7M, QL21A","Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Nhà hàng phở",,,,"https://www.google.com/maps/search/?api=1&query=Ph%E1%BB%9F%20C%E1%BB%93%20An%202&query_place_id=ChIJZ04XLQBbNDERofaKGwvClCQ","Nhà hàng phở"
"Quán mỳ quảng",,,"2G79+CF4","Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Quán mì",,,,"https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20m%E1%BB%B3%20qu%E1%BA%A3ng&query_place_id=ChIJJWbjPgBbNDERpmsG6rR1Azk","Quán mì"
"Quán Bia Vàng 999",,,"2G2C+443","Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Quán bia sân vườn",,,,"https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20Bia%20V%C3%A0ng%20999&query_place_id=ChIJT0AmbQBbNDERvRn2nretB2w","Quán bia sân vườn"
"Quán phở Minh Đức",,,"2G2C+V99","Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Nhà hàng gia đình",,,,"https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20ph%E1%BB%9F%20Minh%20%C4%90%E1%BB%A9c&query_place_id=ChIJp_JZegBbNDERwbrge2vdrQY","Nhà hàng gia đình"
"Quán vịt Xuân Lan",,,"2G2C+V9H","Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20v%E1%BB%8Bt%20Xu%C3%A2n%20Lan&query_place_id=ChIJ80scHwBbNDER4AIxGn8Mt_E","Nhà hàng"
"Phở Bò Trung Kiên",,,"2G3C+45C, QL21A","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 973 138 721","Nhà hàng phở",,,,"https://www.google.com/maps/search/?api=1&query=Ph%E1%BB%9F%20B%C3%B2%20Trung%20Ki%C3%AAn&query_place_id=ChIJz4ExPABbNDERz4nHNFhw0KM","Nhà hàng phở"
"Bún chả Năm Hòi",,,"2G69+675","Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Nhà hàng chuyên phục vụ bữa sáng",,,,"https://www.google.com/maps/search/?api=1&query=B%C3%BAn%20ch%E1%BA%A3%20N%C4%83m%20H%C3%B2i&query_place_id=ChIJ-ZsEUwBbNDERelh90WyxjV4","Nhà hàng chuyên phục vụ bữa sáng"
"Phở bò 999",,,"2G49+6JH","Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=Ph%E1%BB%9F%20b%C3%B2%20999&query_place_id=ChIJESvyEwBbNDERcGUXf-svlOI","Nhà hàng"
"Minh Chi Bún Chả Hà Nội",,,,"Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=Minh%20Chi%20B%C3%BAn%20Ch%E1%BA%A3%20H%C3%A0%20N%E1%BB%99i&query_place_id=ChIJ6zKEu5RbNDERYcLOp4c-qwc","Nhà hàng"
"Bánh Mỳ Chảo Kozzo","5","1","Nhà 65","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 898 322 496","Nhà hàng ăn nhanh",,,,"https://www.google.com/maps/search/?api=1&query=B%C3%A1nh%20M%E1%BB%B3%20Ch%E1%BA%A3o%20Kozzo&query_place_id=ChIJv0BhQPxbNDER8ZyNkSrsce4","Nhà hàng ăn nhanh"
"Lẩu Hoa Thảo Dược Ngọc Linh","5","1","Thôn Trại Mới","Hà Nội","Yên Xuân, Hà Nội","VN","https://thunglungngoclinh.com/","+84 378 882 828","Nhà hàng món lẩu",,,,"https://www.google.com/maps/search/?api=1&query=L%E1%BA%A9u%20Hoa%20Th%E1%BA%A3o%20D%C6%B0%E1%BB%A3c%20Ng%E1%BB%8Dc%20Linh&query_place_id=ChIJ97C3IYNdNDER239rtN-qZ-A","Nhà hàng món lẩu"
"Cánh Đồng Quán Tin Tin",,,"XFCX+V47","Hà Nội","Yên Xuân, Hà Nội","VN",,"+84 839 583 456","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=C%C3%A1nh%20%C4%90%E1%BB%93ng%20Qu%C3%A1n%20Tin%20Tin&query_place_id=ChIJXW6ZTwBdNDERrtpCrFMQjbo","Nhà hàng"
"Phương Hưởng Quán",,,"XFHW+PFW, Xóm Trại Mới","Hòa Bình","Lương Sơn, Hòa Bình","VN",,"+84 961 907 129","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=Ph%C6%B0%C6%A1ng%20H%C6%B0%E1%BB%9Fng%20Qu%C3%A1n&query_place_id=ChIJVVVKEgBdNDERss5c67H3030","Nhà hàng"
"Nhà Hàng Ngọc Trai Tiến Xuân","5","9","XFWJ+FM","Hà Nội","Yên Xuân, Hà Nội","VN",,"+84 567 788 888","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20Ng%E1%BB%8Dc%20Trai%20Ti%E1%BA%BFn%20Xu%C3%A2n&query_place_id=ChIJ-XGWfQBdNDER8IYkEkJ30p4","Nhà hàng"
"Đồng Quê Quán",,,"XFHW+PFW, Xóm Trại Mới","Hòa Bình","Lương Sơn, Hòa Bình","VN",,"","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=%C4%90%E1%BB%93ng%20Qu%C3%AA%20Qu%C3%A1n&query_place_id=ChIJQ4XVFQBdNDERhBM_VanL-KA","Nhà hàng"
"Gà Tươi Mạnh Hoạch","4.9","11",,"Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 925 973 111","Nhà hàng","Nhà hàng thịt gà",,,"https://www.google.com/maps/search/?api=1&query=G%C3%A0%20T%C6%B0%C6%A1i%20M%E1%BA%A1nh%20Ho%E1%BA%A1ch&query_place_id=ChIJtc9jJQBbNDERnw4YCfugYoI","Nhà hàng"
"Nhà Hàng Na Lá Cọ","4.7","29",,"Hà Nội","Yên Xuân, Hà Nội","VN",,"+84 981 112 191","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20Na%20L%C3%A1%20C%E1%BB%8D&query_place_id=ChIJMTO69ABbNDERCwFqQQaO9rU","Nhà hàng"
"Nhà Hàng Dê Sơn Dương Thạch Hòa","4.6","16","Cụm 3 thôn 2","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 382 233 568","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20D%C3%AA%20S%C6%A1n%20D%C6%B0%C6%A1ng%20Th%E1%BA%A1ch%20H%C3%B2a&query_place_id=ChIJ0cXjz79bNDER2axzlhlk7nw","Nhà hàng"
"Nhà Hàng Hò Zô Ta","4","426",,"Hà Nội","Yên Xuân, Hà Nội","VN","https://hozota.cukcuk.vn/order-online/","+84 904 662 000","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20H%C3%B2%20Z%C3%B4%20Ta&query_place_id=ChIJ3RJcKxlbNDER-nVm-LJCmfc","Nhà hàng"
"PHỞ BÒ, GÀ, BÚN CÁ HÒZÔTA tại Hoà Lạc","5","7",,"Hà Nội","Yên Xuân, Hà Nội","VN",,"+84 966 982 020","Nhà hàng phở","Nhà hàng",,,"https://www.google.com/maps/search/?api=1&query=PH%E1%BB%9E%20B%C3%92%2C%20G%C3%80%2C%20B%C3%9AN%20C%C3%81%20H%C3%92Z%C3%94TA%20t%E1%BA%A1i%20Ho%C3%A0%20L%E1%BA%A1c&query_place_id=ChIJa7Z0TABdNDERPpFUOJqSipk","Nhà hàng phở"
"Hòa Thuận Quán Ẩm Thực Tây Bắc","4","49","2FW9+993","Hà Nội","Đoài Phương, Hà Nội","VN",,"","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=H%C3%B2a%20Thu%E1%BA%ADn%20Qu%C3%A1n%20%E1%BA%A8m%20Th%E1%BB%B1c%20T%C3%A2y%20B%E1%BA%AFc&query_place_id=ChIJjf4hqp1eNDERrIsV9IQaVCc","Nhà hàng"
"Vạc Quán","4.5","4","Số 168 QL21A","Hà Nội","Đoài Phương, Hà Nội","VN",,"+84 965 782 825","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=V%E1%BA%A1c%20Qu%C3%A1n&query_place_id=ChIJS-FfYABZNDERXAYn8NL84Og","Nhà hàng"
"Quán Cây Si","5","1","3F5X+48X, QL21A","Hà Nội","Sơn Tây, Hà Nội","VN",,"","Nhà hàng gia đình",,,,"https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20C%C3%A2y%20Si&query_place_id=ChIJjQdXFABfNDERkRp_2wJJ8zs","Nhà hàng gia đình"
"Nhà Hàng Thanh Bình Lẩu Cua Đồng Gà Ri","4.6","92","7PGQ+45","Hà Nội","Đoài Phương, Hà Nội","VN",,"+84 368 898 456","Nhà hàng món lẩu",,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20Thanh%20B%C3%ACnh%20L%E1%BA%A9u%20Cua%20%C4%90%E1%BB%93ng%20G%C3%A0%20Ri&query_place_id=ChIJmR4LOGf9NDER11_bqb1OV5E","Nhà hàng món lẩu"
"Nhà Hàng Đức Dê Tươi","4.8","54","QL21","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 813 307 666","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20%C4%90%E1%BB%A9c%20D%C3%AA%20T%C6%B0%C6%A1i&query_place_id=ChIJHYgROgBbNDERS9-86VBGjq0","Nhà hàng"
"Phở Bò Khai Tâm","5","5","2F95+FX3, TL87","Hà Nội","Yên Bài, Hà Nội","VN",,"+84 979 223 805","Nhà hàng phở",,,,"https://www.google.com/maps/search/?api=1&query=Ph%E1%BB%9F%20B%C3%B2%20Khai%20T%C3%A2m&query_place_id=ChIJ6-YQdgBdNDERTqFRxT9Oqa8","Nhà hàng phở"
"Quán Trâu Tám Hương","4.3","138","XFCW+RMC","Hà Nội","Yên Xuân, Hà Nội","VN",,"+84 973 446 288","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20Tr%C3%A2u%20T%C3%A1m%20H%C6%B0%C6%A1ng&query_place_id=ChIJQSH98H5dNDERImRr5FyLhXo","Nhà hàng"
"Nhà Hàng Hưng Gia","4.7","9","XGMG+Q8Q, QL21","Hà Nội","Yên Xuân, Hà Nội","VN",,"+84 904 900 385","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20H%C6%B0ng%20Gia&query_place_id=ChIJhY2b85yrNTERmxgNmeJY9S4","Nhà hàng"
"Quán Cơm Tuyết Ngân","5","1","XGPG+H68","Hà Nội","Yên Xuân, Hà Nội","VN",,"+84 986 438 419","Nhà hàng cơm",,,,"https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20C%C6%A1m%20Tuy%E1%BA%BFt%20Ng%C3%A2n&query_place_id=ChIJ99oW1hlbNDERNM7H2sg92Js","Nhà hàng cơm"
"Cơm Thu Hằng","4.1","44","XGPG+Q56","Hà Nội","Yên Xuân, Hà Nội","VN",,"+84 368 313 125","Nhà hàng cơm",,,,"https://www.google.com/maps/search/?api=1&query=C%C6%A1m%20Thu%20H%E1%BA%B1ng&query_place_id=ChIJm6pyf5BbNDER-ymTqyq0eag","Nhà hàng cơm"
"Hương Việt Quán Hoà Lạc","4.1","199","276 Cụm 1","Hà Nội","Hòa Lạc, Hà Nội","VN","https://www.facebook.com/huongvietquanhoalac","+84 944 665 588","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=H%C6%B0%C6%A1ng%20Vi%E1%BB%87t%20Qu%C3%A1n%20Ho%C3%A0%20L%E1%BA%A1c&query_place_id=ChIJpYedXFtbNDER2zyVw2UmvdU","Nhà hàng"
"Quang Vinh Quán Cơm","4.2","29","XGMH+H25, Tại khu tái định cư bắc phú cát","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 916 091 358","Nhà hàng cơm",,,,"https://www.google.com/maps/search/?api=1&query=Quang%20Vinh%20Qu%C3%A1n%20C%C6%A1m&query_place_id=ChIJw3w69xBbNDERbBabmbiIHn4","Nhà hàng cơm"
"Tuyết Trọng Restaurant","3.4","69","XGMG+7F9, QL21A","Hà Nội","Yên Xuân, Hà Nội","VN",,"+84 971 442 221","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=Tuy%E1%BA%BFt%20Tr%E1%BB%8Dng%20Restaurant&query_place_id=ChIJ45tN5QxbNDERKK0_gbG-CfA","Nhà hàng"
"Lý Loan Quán Ngon","3.8","4","XGMH+P24","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 964 548 596","Nhà hàng cơm",,,,"https://www.google.com/maps/search/?api=1&query=L%C3%BD%20Loan%20Qu%C3%A1n%20Ngon&query_place_id=ChIJDXoQQOtbNDERTul3mxwSgt0","Nhà hàng cơm"
"Cây Sung Quán","3.9","17","XGMG+QXX, QL21A","Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=C%C3%A2y%20Sung%20Qu%C3%A1n&query_place_id=ChIJl7uGQ1-rNTER8ETImCd4G-s","Nhà hàng"
"Nhà Hàng Nam Cường 1","3.8","40",,"Hà Nội","Phú Cát, Hà Nội","VN",,"+84 974 048 256","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20Nam%20C%C6%B0%E1%BB%9Dng%201&query_place_id=ChIJ2RaSeBJbNDERTrfHd_B985c","Nhà hàng"
"Nhà Hàng Duy Anh","4.1","54","XGWF+66P, QL21","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 916 028 834","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20Duy%20Anh&query_place_id=ChIJ1WGgXBpbNDERy7BekdVbTRo","Nhà hàng"
"Nhà Hàng Lâm Sơn Trang","3.8","78",,"Hà Nội","Yên Xuân, Hà Nội","VN",,"+84 985 243 668","Nhà hàng thịt gà",,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20L%C3%A2m%20S%C6%A1n%20Trang&query_place_id=ChIJO6NAf3dbNDERTHl3dEBzAmo","Nhà hàng thịt gà"
"TheHill BBQ","4.6","93","Lô 25 Khu tái định","Hà Nội","Phú Cát, Hà Nội","VN","https://www.facebook.com/TheHillBBQ","+84 816 188 588","Nhà hàng món nướng","Nhà hàng tiệc đứng","Nhà hàng món lẩu","Nhà hàng","https://www.google.com/maps/search/?api=1&query=TheHill%20BBQ&query_place_id=ChIJOWdAxlJbNDERP9R6PqI48MU","Nhà hàng món nướng"
"Nhà Hàng Thanh Vũ 79","4.5","1135","Hòa Lạc - Thạch Thất","Hà Nội","Hòa Lạc, Hà Nội","VN","http://laucuadongthanhvu79.com/","+84 963 016 661","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20Thanh%20V%C5%A9%2079&query_place_id=ChIJpbODHC5bNDERiW0jf14vqtc","Nhà hàng"
"Nhà Hàng Vườn Xanh 1","4.7","20","Cầu Rau","Hà Nội","Phú Cát, Hà Nội","VN",,"+84 967 158 355","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20V%C6%B0%E1%BB%9Dn%20Xanh%201&query_place_id=ChIJZ29YfRtbNDERRpcp1JaeDoc","Nhà hàng"
"Vườn Bia Panorama","4.9","47","XGMH+J46","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 865 403 959","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=V%C6%B0%E1%BB%9Dn%20Bia%20Panorama&query_place_id=ChIJvdvYZwBbNDERg8p_hFpZ-Oo","Nhà hàng"
"Cua Đồng Không Tên","4.1","2525","Km 1 Hồ Chí Minh","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 902 016 669","Nhà hàng món lẩu",,,,"https://www.google.com/maps/search/?api=1&query=Cua%20%C4%90%E1%BB%93ng%20Kh%C3%B4ng%20T%C3%AAn&query_place_id=ChIJY2b0gbFbNDERXi74nHKx-pU","Nhà hàng món lẩu"
"Gà Ri Ngọc Đăng","4.5","32","QL21A","Hà Nội","Yên Xuân, Hà Nội","VN",,"+84 372 254 930","Nhà hàng thịt gà",,,,"https://www.google.com/maps/search/?api=1&query=G%C3%A0%20Ri%20Ng%E1%BB%8Dc%20%C4%90%C4%83ng&query_place_id=ChIJzdcuH0ZbNDER7ueyzv-Q1nI","Nhà hàng thịt gà"
"Nhà Hàng Gà Ri Phú Bình 1","3.8","992","QL21A","Hà Nội","Yên Xuân, Hà Nội","VN","http://phubinhhoalac.com.vn/","+84 24 6654 6091","Nhà hàng thịt gà",,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20G%C3%A0%20Ri%20Ph%C3%BA%20B%C3%ACnh%201&query_place_id=ChIJMRFZHQ1bNDERcI1udLye3Y8","Nhà hàng thịt gà"
"Legacy Phu Cat","3.1","14","Nhà hàng CX1, Khu đô thị Phú Cát, Xã","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 934 433 688","Trung tâm cộng đồng","Nhà hàng",,,"https://www.google.com/maps/search/?api=1&query=Legacy%20Phu%20Cat&query_place_id=ChIJWfrbxTBbNDER4Eh2ryso44M","Trung tâm cộng đồng"
"Nhà Hàng Về Bản Em","4.1","30",,"Hà Nội","Hòa Lạc, Hà Nội","VN","https://vebanem.vn/","+84 852 485 333","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20V%E1%BB%81%20B%E1%BA%A3n%20Em&query_place_id=ChIJWzBz2aJFNDERoRQ4cxRHTe4","Nhà hàng"
"Lẩu Cua Đồng Hoà Lạc 36","4.1","116","XGHH+JHV, QL21A","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 966 698 936","Nhà hàng món lẩu",,,,"https://www.google.com/maps/search/?api=1&query=L%E1%BA%A9u%20Cua%20%C4%90%E1%BB%93ng%20Ho%C3%A0%20L%E1%BA%A1c%2036&query_place_id=ChIJv3IixJJbNDERZvijf46LUfs","Nhà hàng món lẩu"
"Cơm Đại Tuyết","4","1","XFXV+J5J, Miễu","Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Nhà hàng cơm",,,,"https://www.google.com/maps/search/?api=1&query=C%C6%A1m%20%C4%90%E1%BA%A1i%20Tuy%E1%BA%BFt&query_place_id=ChIJRxu8ZABdNDERkPYMaJr2b8M","Nhà hàng cơm"
"Cơm Thu Đông",,,"XFXR+QX8","Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Nhà hàng cơm",,,,"https://www.google.com/maps/search/?api=1&query=C%C6%A1m%20Thu%20%C4%90%C3%B4ng&query_place_id=ChIJe1gUKwBdNDERx_4YdbrYxxE","Nhà hàng cơm"
"Quán Cơm Xe Tải 102",,,"XGQ3+PF9, CT03","Hà Nội","Yên Xuân, Hà Nội","VN",,"","Nhà hàng cơm",,,,"https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20C%C6%A1m%20Xe%20T%E1%BA%A3i%20102&query_place_id=ChIJJRjxPQBbNDERwaTIuM5aF78","Nhà hàng cơm"
"Bia Hơi Tiến Nhị","3.6","19",,"Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 947 337 968","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=Bia%20H%C6%A1i%20Ti%E1%BA%BFn%20Nh%E1%BB%8B&query_place_id=ChIJ5UDAv1BbNDERWmOadSE_vGQ","Nhà hàng"
"Nhà Nghỉ Yên Bình 2","3.4","93","2F77+FG4, CT03","Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Nhà hàng","Trạm nghỉ","Khách sạn",,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20Ngh%E1%BB%89%20Y%C3%AAn%20B%C3%ACnh%202&query_place_id=ChIJq-olQU9cNDERPoCUlg3Aa3s","Nhà hàng"
"Bia Chung Pộc","5","1","XFXQ+3WW","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 973 935 250","Quán bia",,,,"https://www.google.com/maps/search/?api=1&query=Bia%20Chung%20P%E1%BB%99c&query_place_id=ChIJn-0HUABdNDER0R0ldppMv_M","Quán bia"
"Lam Restaurant","4.2","37","Miễu","Hà Nội","Yên Xuân, Hà Nội","VN",,"+84 975 317 799","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=Lam%20Restaurant&query_place_id=ChIJ21NGT7NdNDERrTDfRry-vLs","Nhà hàng"
"Nhà hàng Sơn Trang C5","4.3","9","XGQ5+P9H, CT03","Hà Nội","Yên Xuân, Hà Nội","VN","https://www.facebook.com/sontrangc5","+84 866 492 833","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20h%C3%A0ng%20S%C6%A1n%20Trang%20C5&query_place_id=ChIJt8-AdQBbNDER9GvG2g2p0Ok","Nhà hàng"
"Phở Núi","3.8","286","XFVQ+XMW, Thôn, Miễu","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 378 981 062","Nhà hàng phở",,,,"https://www.google.com/maps/search/?api=1&query=Ph%E1%BB%9F%20N%C3%BAi&query_place_id=ChIJsZo9-IdcNDERY0zjQpEdhc0","Nhà hàng phở"
"Quán Bà Thủy Cơm Xe Tải","3.9","156","Qua 200m đối diện đường vào thôn, Trại Mới","Hà Nội","Yên Xuân, Hà Nội","VN",,"+84 982 174 512","Nhà hàng cơm",,,,"https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20B%C3%A0%20Th%E1%BB%A7y%20C%C6%A1m%20Xe%20T%E1%BA%A3i&query_place_id=ChIJj13NpapbNDER4-6jOFaKPzA","Nhà hàng cơm"
"Bún Cháo Đức Lương","5","1","XFVQ+X9M Qua 30m Cty CP An Thinh Group","Hà Nội","Yên Xuân, Hà Nội","VN",,"+84 984 325 801","Quán mì",,,,"https://www.google.com/maps/search/?api=1&query=B%C3%BAn%20Ch%C3%A1o%20%C4%90%E1%BB%A9c%20L%C6%B0%C6%A1ng&query_place_id=ChIJla8yVABdNDERHIcZEOmtvm4","Quán mì"
"Cơm Xe Tải Quán Đỏ",,,"XFRX+27Q, Trại Mới","Hà Nội","Yên Xuân, Hà Nội","VN",,"+84 986 539 336","Nhà hàng cơm",,,,"https://www.google.com/maps/search/?api=1&query=C%C6%A1m%20Xe%20T%E1%BA%A3i%20Qu%C3%A1n%20%C4%90%E1%BB%8F&query_place_id=ChIJtW63DQBdNDERpwMFwfPLG14","Nhà hàng cơm"
"Nhà Hàng Mường Nhé","3.5","120",,"Hà Nội","Yên Xuân, Hà Nội","VN",,"+84 904 877 977","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20M%C6%B0%E1%BB%9Dng%20Nh%C3%A9&query_place_id=ChIJI8k5qGJcNDER1C-7pW0-bgA","Nhà hàng"
